2026-06-15 16:32:54,113 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 登录成功:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '673f4970-1459-4ae0-a621-12fa7a3e8d91'}
2026-06-15 16:33:00,991 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 手机号未注册:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:33:07,897 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码错误:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:33:22,230 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 手机号为空:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:33:27,765 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 手机号含有特殊字符:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:33:32,795 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 10位手机号:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:33:42,685 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 12位手机号:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:33:49,147 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码为空:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:33:59,631 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码含有特殊字符:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:34:06,435 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码1位:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:34:12,576 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码100位:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:34:20,239 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 多参:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'dfae8a11-b915-4a94-91a2-c239fdae3a13'}
2026-06-15 16:34:25,741 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 少参-password:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 16:34:30,047 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 无参:{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None}
2026-06-15 16:34:40,260 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 错误参数:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:18,475 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 登录成功:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '56c78804-eb0c-4feb-90fc-306d80774264'}
2026-06-15 17:12:18,756 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 手机号未注册:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:19,026 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码错误:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:19,323 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 手机号为空:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:19,592 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 手机号含有特殊字符:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:19,876 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 10位手机号:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:20,132 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 12位手机号:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:20,401 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码为空:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:20,669 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码含有特殊字符:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:20,938 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码1位:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:21,217 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 密码100位:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:21,483 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 多参:{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '6b22695d-b4bf-41b5-9786-f0bd7e5f967c'}
2026-06-15 17:12:21,763 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 少参-password:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2026-06-15 17:12:22,036 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 无参:{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None}
2026-06-15 17:12:22,296 INFO [test_login_params_log.py(test_hirm_login_success:29)] - 错误参数:{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
