"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9595","登录成功","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","6136","密码100位","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","9884","12位手机号","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","14329","手机号为空","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","10478","密码含有特殊字符","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","6458","密码为空","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","7658","多参","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","6829","手机号未注册","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","6902","密码错误","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","5525","手机号含有特殊字符","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","5495","少参-password","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","10206","错误参数","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","6796","密码1位","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","4301","无参","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
"","5021","10位手机号","scripts","2026-06-15","passed","2026-06-15","TestLogin","test_login_params_log","",""
